0)byfreeshock     by free shock 
125)theflowpastaslenderdelta     the flow past as lend er delta 
126)exceptinexceptionalcases     except in exceptional cases 
127)adiscussionoftheintegral     a discussion of the integral 
128)detraandhidalgohaveshown     detra and hidalgo have shown 
129)acircularcylinderwithtwo     a circular cylinder with two 
130)presentationofstagnation     presentation of stagnation 
131)beenextendedtoincludenon     been extended to include non 
132)theintensityofturbulence     the intensity of turbulence 
133)withthedevelopmentofhigh     with the development of high 
134)anexactsolutionoftheheat     an exact solution of the heat 
135)theflowaroundslenderwing     the flow around slender wing 
136)amethodisdevelopedforthe     a method is developed forth e 
137)theclampedplateproblemin     the clamped plate problem in 
138)acollectionhasbeenmadeof     a collection has been made of 
139)weconsiderinthisreportthe     we consider in this report the 
140)theprofilesandthicknesses     the profiles and thicknesses 
141)thetransonicflowroundatwo     the transonic flow round at w o 
142)recentresultsoftestsinthe     recent results of tests in the 
143)comparisonsaremadebetween     comparisons are made between 
144)thispaperstudiesthesteady     this papers t u d i e s the steady 
145)testshavebeenmadeinthreen     tests have been made in three n 
146)fromananalysisoftheworkof     from an analysis of the work of 
147)fromastudyofexistingsonic     from as t u dy of existing sonic 
148)adescriptionisgivenofthen     a description is given of then 
149)followingthemethodsoflyon     following them et h o d so fly on 
150)astudywasmadeofthefatigue     as t u dy was made of the fatigue 
151)withtheintroductionofhigh     with the introduction of high 
152)thetransientperformanceof     the transient performance of 
153)oftheperfectlyelasticthin     of the perfectly elastic thin 
154)ofnewtoniantheoryforblunt     of newtonian theory for blunt 
155)paperisatranslationofchap     paper is at r an s la tion of chap 
156)aninvestigationtodetermine     an investigation to determine 
157)themethodsoftheoperational     them et h o d soft he operational 
158)asimplemethodofdetermining     as im p l e method of determining 
159)measurementshavebeenmadeof     measurements have been made of 
160)theproblemsofsolidblockage     the problems of solid blockage 
161)aconewithabluntnosetipanda     a cone with ab l u n tn o set i p and a 
162)theeconomyofadesigndepends     the economy of a design depends 
163)resultsaregivenoflocalskin     results are given of local skin 
164)controlsurfaceflutterofthe     controls u rf a c e flutter of the 
165)temperatureprofilesandheat     temperature profiles and heat 
166)thispaperisabriefsummaryof     this paper is ab r i e f summary of 
167)aninvestigationoftheeffect     an investigation of the effect 
168)resultsofhypersonicflutter     results of hypersonic flutter 
169)astudyhasbeenmadeofthetime     as t u dy has been made of the time 
170)thetheoryoflaminarboundary     the theory of laminarboundary 
171)testsweremadeofashortblunt     tests were made of as h or t blunt 
172)asimplemethodofcalculating     as im p l e method of calculating 
173)aninvestigationismadeofthe     an investigation is made of the 
174)atechniqueisdiscussedwhich     at e c h n i q u e is discussed which 
175)stateequationsofmotionfora     state equations of motion for a 
176)anewstatictubeandanewpitot     an e w static tube and an e w pitot 
177)theperformancetheoryforhigh     the performance theory for high 
178)thepracticalneedforresearch     the practical need for research 
179)estimatesofthevariationwith     estimates of the variation with 
180)thepresentpaperconcernswith     the present paper concerns with 
181)thetumblingmotionofvehicles     the tumbling motion of vehicles 
182)theproblemofcircumferential     the problem of circumferential 
183)improvementindetectedsignal     improvement in detected signal 
184)resultsofanexperimentalheat     results of an experimental heat 
185)inhisdetailedstudyofthenose     in his detailed study of then o s e 
186)ageneraltheoryofsteadythree     age n er al theory of steady three 
187)whengasesflowathighvelocity     when gases flow at highvelocity 
188)theauthorsgiveabriefaccount     the authors give ab r i e f account 
189)thisreportpresentsequations     this report presents equations 
190)windtunneltestshavebeenmade     windtunnel tests have been made 
191)suitableformsoftheequations     suitable forms of the equations 
192)bytransformationofvariables     by transformation of variables 
193)theroutinetestingofaircraft     the routine testing of aircraft 
194)duringthermalfatiguetesting     during thermalfatigue testing 
195)bymeansofsuitableexpansions     by means of suitable expansions 
196)thisreportisrestrictedtothe     this report is restricted to the 
197)extensionofpreviousanalyses     extension of previous analyses 
198)thebucklingofsimplysupported     the buckling of simply supported 
199)distributioninaboundarylayer     distribution in ab o u nd ary layer 
200)itisdemonstratedthattheshock     it is demonstrated that the shock 
201)approximateexpressionsforthe     approximate expressions forth e 
202)dataarepresentedwhichprovide     data are presented which provide 
203)thisreportcontainstheresults     this report contains there s u l t s 
204)usingthetechniquesofboundary     using the techniques of boundary 
205)existingmethodsofcalculating     existing methods of calculating 
206)amethodforcomputingthesteady     a method for computing the steady 
207)discussionofvariousturbulent     discussion of various turbulent 
208)aninvestigationofsomeaspects     an investigation of some aspects 
209)tunneltestshavebeenperformed     tunnel tests have been performed 
210)itisshownthatshockwaveswhose     it is shown that shockwaves whose 
211)afteranextensivesurveyofmean     after an extensive survey of mean 
212)thisisthefirstofthreepartsof     this is the first of three parts of 
213)asatellitevehicleisdescribed     as at e l li t e vehicle is described 
214)areviewisgivenofdevelopments     are view is given of developments 
215)resultsarepresentedfromawind     results are presented from a wind 
216)bythedistortionofcoordinates     by the distortion of coordinates 
217)thisreportgivestablesofthetwo     this report gives tables of the two 
218)pressuredistributionshavebeen     pressuredistribution s have been 
219)withthevonmisestransformation     with the von mises transformation 
220)theeffectofairdragonsatellite     the effect of air drag on satellite 
221)corridorsformannedvehiclesare     corridors form an n e d vehicles are 
222)ananalysisismadeforthelaminar     an analysis is made forth e laminar 
223)windtunnelexperimentswithside     windtunnel experiments with side 
224)asummaryofexactsolutionsofthe     as u mm ary of exact solutions of the 
225)andrapidmethodbywhichboundary     and rapid method by which boundary 
226)forinitialstagnationpressures     for initial stagnation pressures 
227)amethodisdescribedfortreating     a method is described fort re at ing 
228)ontheoriesofvorticitytransfer     on theories of vorticity transfer 
229)anexactgeneralmethodofsolving     an exact general method of solving 
230)distributedroughnessbandsofno     distributed roughness bands of no 
231)aheatconductionproblemissetup     a heat conduction problem is set up 
232)themethodofgeneralisedconical     them et h o do f generalised conical 
233)anexaminationhasbeenmadeofthe     an examination has been made of the 
234)ageneraltheoryofcreepbuckling     age n er al theory of creepbuckling 
235)measuredasafunctionofpressure     measured as a function of pressure 
236)thenonviscousflowthroughamixed     then on viscous flow through a mixed 
237)theproblemoftransientliftontwo     the problem of transient lift on two 
238)amethodofpredictinglaminarheat     a method of predicting laminar heat 
239)onthebasisofthehypersonicsmall     on the basis of the hypersonic small 
240)anexperimentalinvestigationwas     an experimental investigation was 
241)theequationsoftheboundarylayer     the equations of the boundarylayer 
242)thisnotedescribestransientwall     this noted e s c rib e s transient wall 
243)panelfluttertestswereconducted     panel flutter tests were conducted 
244)thedeflexionofauniformlyloaded     the deflexion of a uniformly loaded 
245)oftheinfluenceofboundarylayers     of the influence of boundarylayer s 
246)tohelpfillthegapintheknowledge     to help fill the gap in the knowledge 
247)anewandgeneralmethodforsolving     an e w and general method for solving 
248)turbulentrecoveryfactorandheat     turbulent recovery factor and heat 
249)anexperimentalinvestigationhas     an experimental investigation has 
250)semivertexangleconewerestudied     semivertex angle cone were studied 
251)intheflowpastaslenderdeltawing     in the flow past as lend er delta wing 
252)therateofenergytransferbetween     the rate of energy transfer between 
253)thecamberandtwistdistributions     the camber and twist distributions 
254)aninterpretationofthedehoffman     an interpretation of the de hoffman 
255)forthinshellstherelationbetween     forth in shells there la tion between 
256)accordingtotheclassicalboundary     according to the classical boundary 
257)amethodforfindingrealandcomplex     a method for finding real and complex 
258)abladedesignforahighlyloadedtwo     ab la de design for a highly loaded two 
259)asaresultofstudiesmadeduringthe     as are s u l to f studies made during the 
260)thedisplacementofaflatplatebent     the displacement of a flatplate bent 
261)amethodofanalysisbasedonslender     a method of analysis based on slender 
262)thetheoryofsupersonicflowaround     the theory of supersonic flow around 
263)thecaseofcreepbucklingofcolumns     the case of creepbuckling of columns 
264)theoreticalbucklingcoefficients     theoretical buckling coefficients 
265)aninvestigationhasbeenconducted     an investigation has been conducted 
266)thepresentstateofknowledgeonthe     the presents t at e of knowledge on the 
267)theproblemofdeterminingthetotal     the problem of determining the total 
268)transienttemperaturesinaerofoil     transient temperatures in aerofoil 
269)thepolygonmethodofwoodsisusedto     the polygon method of woods is used to 
270)amethodofdesigningpumpimpellers     a method of designing pump impellers 
271)byconsiderationofantisymmetrical     by consideration of antisymmetrical 
272)ageneralmethodisdescribedwhereby     age n er al method is described whereby 
273)recenttheoreticalandexperimental     recent theoretical and experimental 
274)thenonlinearboundaryvalueproblem     then on linear boundary value problem 
275)theblasiusequationsubjecttothree     the blasius equations u b j e c t to three 
276)theenergyseparationforlaminarlow     the energy separation for laminar low 
277)discussionofapreviousapplication     discussion of a previous application 
278)thebasicequationsundersimplified     the basic equations under simplified 
279)layerequationshavebeenintegrated     layer equations have been integrated 
280)developsasideforcelikethatofafin     develops aside force like that of a fin 
281)bucklingtimesofinitiallystraight     buckling times of initially straight 
282)thepresentreportgivesanaccountof     the present report gives an account of 
283)aninvestigationhasbeenmadeinthen     an investigation has been made in then 
284)ananalysisismadeoftheoscillatory     an analysis is made of the oscillatory 
285)convectionflowandheattransferofan     convection flow and heattransfer of an 
286)itisproposedtoshowthattheboundary     it is proposed to show that the boundary 
287)orderboundarylayerdisturbancesare     order boundarylayer disturbances are 
288)thegeneralcharacterofexperimental     the general character of experimental 
289)thehypersonicviscousflowpastaflat     the hypersonic viscous flow past a flat 
290)theinteractionbetweentheturbulent     the interaction between the turbulent 
291)thehypersoniclaminarboundarylayer     the hypersonic laminarboundary layer 
292)dimensionalheatconductionproblems     dimensional heat conduction problems 
293)itisshownthatinthepotentialflowof     it is shown that in the potentialflow of 
294)thispaperisconcernedwiththedesign     this paper is concerned with the design 
295)anapproximatesolutionforthesteady     an approximates o l u tion forth e steady 
296)aninvestigationwasconductedinthen     an investigation was conducted in then 
297)theopticalandphysicalpropertiesof     the optical and physical properties of 
298)thetheoryofthelaminarboundarylayer     the theory of the laminarboundary layer 
299)theextensionalandflexuralequations     the extensional and flexural equations 
300)thenaturalfrequenciesofacontinuous     then at u r al frequencies of a continuous 
301)systematictestshavebeenmadeatamach     systematic tests have been made at a mach 
302)byamethodsimilartothatdevelopedbys     by a methods im i la rt o that developed by s 
303)inthecourseofinvestigatingboundary     in the course of investigating boundary 
304)ananalysisispresentedwhichpredicts     an analysis is presented which predicts 
305)thesupersonicflowaboutabluntbodyof     the supersonic flow about ab l u n t body of 
306)theproblemoftheflowalongaflatplate     the problem of the flow along a flatplate 
307)theresultsoftestsonpressurizedring     there s u l t soft e s t so np re s s u r i z e d 
308)resultsoffatiguetestscarriedoutatr     results off at i g u et e s t s carried out at r 
309)asimplemethodisgivenwhichissuitable     as im p l e method is given which is suitable 
310)mosttreatmentsofmagnetohydrodynamic     most treatments of magnetohydrodynamic 
311)walledcircularcylindersisreplacedby     walled circular cylinders is replaced by 
312)inthepresentreportthestabilityoftwo     in the present report the stability of two 
313)hasbeenextendedtothecylindricalcase     has been extended to the cylindrical case 
314)theflowfieldanalyzedconsistsofathin     the flow field analyzed consists of at h in 
315)thepossibilityofagradualinstability     the possibility of a gradual instability 
316)measurementshavebeenmadeofthedirect     measurements have been made of the direct 
317)thispaperpresentsnumericalresultsof     this paper presents numerical results of 
318)themomentumequationwasuncoupledfrom     them o m e n t u m equation was uncoupled from 
319)existingtheoriesforthestantontubeare     existing theories forth e stanton tube are 
320)whichisarevisionandextensionofnacatn     which is are vision and extension of naca tn 
321)theelectricalconductivityofanionized     the electrical conductivity of an ionized 
322)atheoreticalinvestigationofsymmetric     at he or et i cal investigation of symmetric 
323)thetheoryofstabilityofdynamicsystems     the theory of stability of dynamics y stems 
324)thepresentpapercontainsanapplication     the present paper contains an application 
325)andpressuredistributionofatriangular     and pressuredistribution of at r i angular 
326)methodapplicabletobodiesofrevolution     method applicable to bodies ofr e v o l u tion 
327)vibrationinaircraftstructurecanalmost     vibration in aircraft structure can almost 
328)thevalueofthecompressivestressatwhich     the value of the compressive stress at which 
329)flightmodelswereflowntomeasurethezero     flight models were flown to measure the zero 
330)astudyismadeofthestationaryconvection     as t u dy is made of the stationary convection 
331)inspecialcircumstanceswherealargework     in special circumstances where al a r g e work 
332)thereportdescribesaninvestigationinto     there p or t describes an investigation into 
333)theincompressiblelaminarboundarylayer     the incompressible laminarboundary layer 
334)dataarepresentedonsideforcesgenerated     data are presented on sideforce s generated 
335)thedevelopmentofsupersoniccompressors     the development of supersonic compressors 
336)alongthecentrelineoftheworkingsection     along the centreline of the workingsection 
337)theeffectofinternalpressureonthesmall     the effect of internal pressure on the small 
338)thetheoryofcompressibleflowinalaminar     the theory of compressibleflow in al a m in a r 
339)theproblemofthebucklingofthincircular     the problem of the buckling of thin circular 
340)thereportdescribesteststoobtaindirect     there p or t describes tests too b t a indirect 
341)thepurposeofthisnoteistodiscussthetwo     the purpose of this note is to discuss the two 
342)somewhatmoreaccuratethanthoserecently     somewhat more accurate than those recently 
343)thispaperpresentsamethodofcalculating     this paper presents a method of calculating 
344)astudyhasbeenmadeoftheflowdevelopment     as t u dy has been made of the flow development 
345)theinviscidflowofaperfectgasoverblunt     the inviscidflow of a perfectgas over blunt 
346)currentinterestintheproblemofinviscid     current interest in the problem of inviscid 
347)thepairofmotionequationsforentryintoa     the pair of motion equations fore n tr y into a 
348)astudyismadeoftheunsteadyflowaroundan     as t u dy is made of the unsteady flow around an 
349)amethodispresentedforcomputingrapidly     a method is presented for computing rapidly 
350)thedeterminationofcolumndeflectionsand     the determination of column deflections and 
351)threecentrifugalimpellerswithparabolic     three centrifugal impellers with parabolic 
352)controlledmissileisoneinwhichmanoeuvre     controlled missile is one in which manoeuvre 
353)experimentaldataarepresentedonboundary     experimental data are presented on boundary 
354)andcirculatedtothecivildefenceresearch     and circulated to the civil defence research 
355)afterarathercompleteexploratoryprogram     after a rather complete exploratory program 
356)presentedaretheresultsofanexperimental     presented are there s u l t so fan experimental 
357)thesimplelinearizedtransonicflowtheory     the simple linearized transonic flow theory 
358)randomvibrationisvibrationwhichresults     random vibration is vibration which results 
359)inmixturesoftwodifferentgasesorliquids     in mixtures of two different gases or liquids 
360)magneticeffectsareconsiderednegligible     magnetic effects are considered negligible 
361)atheoreticalstudyismadeofsomecruciform     at he or et i cal study is made of some cruciform 
362)analyticalsolutionsoftheprandtlboundary     analytical solutions of the prandtl boundary 
363)experimentshavebeenconductedtomeasurein     experiments have been conducted to measure in 
364)thelaminarboundarylayerinaxialflowabout     the laminarboundary layer in axial flow about 
365)therateofdecayofellipticsatelliteorbits     the rate of decay of elliptic satellite orbits 
366)itisfoundthatforprescribedvelocityfield     it is found that for prescribed velocity field 
367)thehyperboliccharacterofthedifferential     the hyperbolic character of the differential 
368)theuseofmodeltestsinthepredictionoffull     the use of model tests in the prediction off u l l 
369)thegoverningequationsofanincompressible     the governing equations of an incompressible 
370)theeffectsonbasepressureofjetmachnumber     the effects on base pressure of jet machnumber 
371)ageneralmethodisdescribedforcalculating     age n er al method is described for calculating 
372)circularringwingwithabodyofrevolutionon     circular ring wing with ab o dy ofr e v o l u tion on 
373)theproblemofevaluatingthebendingmoments     the problem of evaluating the bending moments 
374)anexperimentalinvestigationofthelaminar     an experimental investigation of the laminar 
375)utilizingtheresearchresultsofpreviously     utilizing there search results of previously 
376)thisstudyoftheflowaboutanairfoilinanear     this study of the flow about an airfoil in an e a r 
377)rateatwhichairdensitypvarieswithheighty     rate at which air density pv a r i e s with height y 
378)theinstabilityoftheacceleratedinterface     the instability of the accelerated interface 
379)flowtheoremforcompressiblenonsteadyflow     flow theorem for compressible nonsteady flow 
380)thetendencyinthepasthasbeentoassumethat     the tendency in the past has been to assume that 
381)thepaperconcernsthehydrodynamicturbulent     the paper concerns the hydrodynamic turbulent 
382)theproblemofpredictingthecharacteristics     the problem of predicting the characteristics 
383)aninvestigationwasconductedinahypersonic     an investigation was conducted in a hypersonic 
384)alinearizedsolutionbasedonadiscontinuous     al in e a r i z e d solution based on a discontinuous 
385)thecharacteristicsofthepositionandformof     the characteristics of the position and form of 
386)theinfluenceoftransversemagneticfieldson     the influence of transverse magnetic fields on 
387)determinethepressureloadsproducedonaflat     determine the pressure loads produced on a flat 
388)considerableinterestinthecharacteristies     considerable interest in the characteristies 
389)soundpropagationofconvectionontheonehand     sound propagation of convection on the one hand 
390)hoffhaspresentedformulaswhichcanbeusedin     hoff has presented formulas which can be used in 
391)injectionprocesshasbeenproposedasamethod     injection process has been proposed as a method 
392)thetitleproblemsweresolvedforthetwocases     the title problems were solved forth et w oc as e s 
393)severalauthorshaveinvestigatedtheboundary     several authors have investigated the boundary 
394)theequationfortheequilibriumofcylindrical     the equation forth e equilibrium of cylindrical 
395)typeheatprotectionatthestagnationpointofa     type heat protection at the stagnationpoint of a 
396)inordertodeterminethevelocitydistribution     in order to determine the velocitydistribution 
397)ananalysisispresentedofsupercircularentry     an analysis is presented of supercircular entry 
398)anidealizationoftheflowsystemusedbypotter     an idealization of the flows y stem used by potter 
399)thepostbucklingbehaviorofinitiallyperfect     the postbuckling behavior of initially perfect 
400)thecriticalflutterspeedisevaluatedforatwo     the critical flutter speed is evaluated for at w o 
401)verysuitableforusewithanautomaticcomputer     very suitable for use with an automatic computer 
402)anapproximatetheoryofthebasepressureintwo     an approximate theory of the base pressure in two 
403)singularitiesareconsideredinthesolutionof     singularities are considered in the solution of 
404)measurementsweremadeofloadsinducedonaflat     measurements were made of loads induced on a flat 
405)themethodofexpressingthevelocityincrement     them et h o do f expressing the velocity increment 
406)thispaperisconcernedwiththesimilitudelaws     this paper is concerned with the similitude laws 
407)explicitsolutionsareobtainedforthebending     explicit solutions are obtained forth e bending 
408)theequationsaregivenforthelaminarboundary     the equations are given forth e laminarboundary 
409)discussionofasimilaritybetweenthepressure     discussion of as im i la r it y between the pressure 
410)anapparatusisdescribedwhichpermitsthemode     an apparatus is described which permits them o de 
411)byintroducingthesimilarityconcepttothetwo     by introducing the similarity concept to the two 
412)thehovercraftisthefirstoperationalbritish     the hovercraft is the first operational british 
413)thisreportinvestigatesthewavedragofbodies     this report investigates the wave drag of bodies 
414)measurementsweremadeofthepressureinablunt     measurements were made of the pressure in ab l u n t 
415)thefrequencyspectraandvibrationmodesofthin     the frequency spectra and vibration modes of thin 
416)tofacilitatethedevelopmentofhighspeedaxial     to facilitate the development of highspeed axial 
417)liapunovandhistheoryofstabilityisdiscussed     liapunov and his theory of stability is discussed 
418)approximateanalyticalsolutionsarepresented     approximate analytical solutions are presented 
419)simplifiedexpressionsdescribingthetransfer     simplified expressions describing the transfer 
420)anexaminationoftheeffectsofcompressibility     an examination of the effects of compressibility 
421)isstudiedanalyticallybyaperturbationmethod     is studied analytically by a perturbation method 
422)pressuremeasurementsweremadeonaslendercone     pressure measurements were made on as lend er cone 
423)intwopreviouspaperstheauthorshavediscussed     in two previous papers the authors have discussed 
424)amathematicaltreatmentofthecoupledmotionof     a mathematical treatment of the coupled motion of 
425)expansiontheoryisutilizedtoobtainequations     expansion theory is utilized too b t a in equations 
426)thecurveofdragagainstmachnumberforstraight     the curve of drag against machnumber for straight 
427)aprocedureispresentedwherebythecomposition     a procedure is presented whereby the composition 
428)thenewtoniantheoryofimpacthasbeenshowntobe     then e w to n i an theory of impact has been shown to be 
429)themaintypesofaxialcompressorsaredescribed     them a in types of axial compressors are described 
430)walkdentheoryfortheestimationofthestrength     walkden theory forth e estimation of the strength 
431)vonkarmanandtsienhaveshownthatunderelastic     von karman and tsien have shown that under elastic 
432)theoryofthincylindricalshellsareintegrated     theory of thin cylindrical shells are integrated 
433)carriedoutforunyawedbodiesofrevolutionwith     carried out for unyawed bodies ofr e v o l u tion with 
434)inordertobringouttheimportanceoftheleading     in order to bring out the importance of the leading 
435)theparticletreatmentisappliedtoastudyofthe     the particle treatment is applied to as t u dy of the 
436)theauthorpointsouttherelationoftheintegral     the author points out there la tion of the integral 
437)aproblemofcreepstabilityofcolumnsandplates     a problem of creep stability of columns and plates 
438)pohlhausenmethodisextendedprimarilytosixth     pohlhausen method is extended primarily to sixth 
439)advancesinthepracticaldevelopmentofboundary     advances in the practical development of boundary 
440)scaleredundantstructureanalysesarecurrently     scale redundant structure analyses are currently 
441)theflowofviscouselectricallyconductingfluid     the flow of viscous electrically conducting fluid 
442)thispaperdealswiththeapplicationofnumerical     this paper deals with the application of numerical 
443)theflowofacompressiblefluidpastaspherefixed     the flow of a compressible fluid past as ph er e fixed 
444)therehaverecentlyarisensomequestionsastothe     there have recently arisen some questions as to the 
445)combinedfreeandforcedconvectiveheattransfer     combined free and forced convective heattransfer 
446)undertookthedesignandfabricationofavariable     undertook the design and fabrication of a variable 
447)asolutionisobtainedfortherateofchangeofsemi     as o l u tion is obtained forth er at e of change of semi 
448)astudywasmadeattransonicspeedsbythenacawing     as t u dy was made at transonic speeds by then a c a wing 
449)thestressesanddisplacementsinapartlyplastic     the stresses and displacements in apart l y plastic 
450)tablesofthermodynamicandtransportproperties     tables of thermodynamic and transport properties 
451)asimplegraphicalnetworkisusedtodeterminethe     as im p l e graphical network is used to determine the 
452)comparativetestsweremadeonsevenconventional     comparative tests were made on seven conventional 
453)thegreatestorleastvalueofafunctionofseveral     the greatest or least value of a function of several 
454)asystematicstudyofinducedpressuresonaseries     as y stem at i c study of inducedpressure so n as er i e s 
455)theanalysisgivenbyprobsteinandelliottforthe     the analysis given by probstein and elliott forth e 
456)aformulafortheinitialbucklingloadsforclamped     a formula forth e initial buckling loads for clamped 
457)thedominatingfactorsinstructuraldesignofhigh     the dominating factors instruct u r al design of high 
458)schlierenphotographshavebeencompiledofthetwo     schlieren photographs have been compiled of the two 
459)threemethodsofapproximatingthedeflectionsand     three methods of approximating the deflections and 
460)dimensionalinviscidnonequilibriumflowsofatwo     dimensional inviscid nonequilibrium flows of at w o 
461)theoreticalinvestigationisconsideredofthetwo     theoretical investigation is considered of the two 
462)thethermodynamicandtransportpropertiesofhigh     the thermodynamic and transport properties of high 
463)attentionhasbeencalledbynumerousauthorstothe     attention has been called by numerous authors to the 
464)inthetheoryofnonstationaryflowsaboutairfoils     in the theory of nonstationary flows about airfoils 
465)thetermflutterisusedheretodenotemaintainedor     the term flutter is used here to denote maintained or 
466)theflowinducedbythesuddencontactbetweenasemi     the flow induced by the sudden contact between as e m i 
467)analysismethodisderivedanddemonstratedforthe     analysis method is derived and demonstrated forth e 
468)inhisstudyoftheeffectofroughnessontransition     in his study of the effect ofr o u g h n e s so n transition 
469)thispaperanalyzesthebendingofasectorialplate     this paper analyzes the bending of as e c to r i al plate 
470)anoutlineisgivenoftheusesoffluttermodelsasan     an outline is given of the uses off l u t term o de l s as an 
471)thevortextuberepresentsasimpledeviceinwhicha     the vortex tube represents as im p led e vice in which a 
472)anintegralmethodfortherapidcalculationofheat     an integral method forth er a p i d calculation of heat 
473)recordingshavebeenmadeofthestrainsinducedina     recordings have been made of the strains induced in a 
474)itwasobservedthatthetwoexistingboundarylayer     it was observed that the two existing boundarylayer 
475)ananalyticalinvestigationismadeofaprecession     an analytical investigation is made of a precession 
476)theproblemoftheiondensitydistributionarounda     the problem of the ion density distribution around a 
477)achangeinflowpatternthatwasobservedasthefree     a change inflow pattern that was observed as the free 
